In,Stats Win,Call Win,Draw
0,52,46,2
1,53,41,6
2,42,57,1
3,53,45,2
4,52,46,2
5,48,51,1
6,47,48,5
7,46,51,3
8,60,36,4
9,47,47,6
10,43,52,5
11,41,53,6
12,40,56,4
13,47,51,2
14,40,53,7
15,53,44,3
16,47,47,6
17,46,45,9
18,43,48,9
19,46,49,5
20,49,45,6
21,54,42,4
22,57,41,2
23,51,47,2
24,55,42,3
25,40,58,2
26,41,55,4
27,47,50,3
28,54,42,4
29,49,46,5
30,39,53,8
31,54,44,2
32,42,55,3
33,41,55,4
34,38,58,4
35,54,42,4
36,41,54,5
37,50,47,3
38,45,51,4
39,52,42,6
40,41,55,4
41,39,57,4
42,49,48,3
43,50,47,3
44,47,50,3
45,55,39,6
46,41,53,6
47,57,38,5
48,55,43,2
49,50,46,4
50,52,45,3
51,47,45,8
52,42,57,1
53,55,38,7
54,41,57,2
55,51,46,3
56,40,56,4
57,54,45,1
58,39,56,5
59,44,51,5
60,49,49,2
61,52,46,2
62,48,49,3
63,46,50,4
64,50,43,7
65,46,48,6
66,46,51,3
67,53,43,4
68,54,42,4
69,44,53,3
70,44,52,4
71,49,49,2
72,40,55,5
73,50,42,8
74,48,44,8
75,54,41,5
76,45,51,4
77,53,42,5
78,42,50,8
79,53,43,4
80,47,51,2
81,51,45,4
82,46,50,4
83,48,50,2
84,52,45,3
85,47,51,2
86,46,51,3
87,48,51,1
88,49,45,6
89,49,47,4
90,44,52,4
91,47,47,6
92,57,40,3
93,47,47,6
94,56,41,3
95,43,52,5
96,44,53,3
97,42,56,2
98,55,44,1
99,56,40,4
