,Iteration,Stats Win,Call Win,Draw,Test
0,0,5,0,0,StatVCall
1,1,4,1,1,StatVCall
2,2,3,2,2,StatVCall
3,3,1,4,4,StatVCall
4,4,3,2,2,StatVCall
5,5,1,4,4,StatVCall
6,6,4,1,1,StatVCall
7,7,4,1,1,StatVCall
8,8,4,0,0,StatVCall
9,9,5,0,0,StatVCall
10,10,4,1,1,StatVCall
11,11,3,2,2,StatVCall
12,12,2,3,3,StatVCall
13,13,3,2,2,StatVCall
14,14,3,2,2,StatVCall
15,15,2,3,3,StatVCall
16,16,2,3,3,StatVCall
17,17,4,1,1,StatVCall
18,18,3,2,2,StatVCall
19,19,2,2,2,StatVCall
20,20,5,0,0,StatVCall
21,21,5,0,0,StatVCall
22,22,2,3,3,StatVCall
23,23,3,2,2,StatVCall
24,24,4,0,0,StatVCall
25,25,1,3,3,StatVCall
26,26,2,1,1,StatVCall
27,27,2,2,2,StatVCall
28,28,2,2,2,StatVCall
29,29,4,1,1,StatVCall
