Winner,Pot,Actions,ATTP1,ATTP2,HandNo
2,100.0,rcrrr/rcrrr,0.0,0.0,1
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,2
2,100.0,rcrrr/rcrrr,0.0,0.0,3
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,4
1,100.0,rcrrr/rcrrr,0.0,0.0,5
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,6
1,100.0,rcrrr/rcrrr,0.0,0.0,7
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,8
2,100.0,rcrrr/rcrrr,0.0,0.0,9
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,10
1,100.0,rcrrr/rcrrr,0.0,0.0,11
2,100.0,rrcrcrc/rrcrcrc,0.000143085207257952,0.0,12
2,100.0,rcrrr/rcrrr,0.0,0.0,13
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,14
2,100.0,rcrrr/rcrrr,0.00020017623901367188,0.0,15
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,16
2,100.0,rcrrr/rcrrr,0.0,0.0,17
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,18
2,100.0,rcrrr/rcrrr,0.0,0.0,19
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,20
1,100.0,rcrrr/rcrrr,0.0,0.0,21
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,22
1,100.0,rcrrr/rcrrr,0.00020008087158203126,0.0,23
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,24
1,100.0,rcrrr/rcrrr,0.0,0.0,25
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,26
1,100.0,rcrrr/rcrrr,0.0,0.0,27
1,100.0,rrcrcrc/rrcrcrc,0.00014294896806989397,0.0,28
2,100.0,rcrrr/rcrrr,0.0,0.0,29
1,100.0,rrcrcrc/rrcrcrc,0.0,0.00020003318786621094,30
2,100.0,rcrrr/rcrrr,0.0,0.0,31
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,32
1,100.0,rcrrr/rcrrr,0.0,0.0,33
2,100.0,rrcrcrc/rrcrcrc,0.0,0.00020008087158203126,34
2,100.0,rcrrr/rcrrr,0.0,0.0,35
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,36
0,100.0,rcrrr/rcrrr,0.0,0.00014294896806989397,37
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,38
2,100.0,rcrrr/rcrrr,0.0,0.0,39
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,40
1,100.0,rcrrr/rcrrr,0.0,0.0,41
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,42
1,100.0,rcrrr/rcrrr,0.00020017623901367188,0.00028627259390694756,43
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,44
1,100.0,rcrrr/rcrrr,0.0,0.0,45
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,46
1,100.0,rcrrr/rcrrr,0.0,0.0,47
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,48
2,100.0,rcrrr/rcrrr,0.0,0.0,49
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,50
2,100.0,rcrrr/rcrrr,0.0,0.0,51
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,52
1,100.0,rcrrr/rcrrr,0.0,0.0,53
1,100.0,rrcrcrc/rrcrcrc,0.0,0.00020022392272949218,54
2,100.0,rcrrr/rcrrr,0.0,0.0,55
