Winner,Pot,Actions,ATTP1,ATTP2,HandNo
2,220.0,cccc/crrr,0.0,8.725971162319183,1
1,20.0,ccc/ccf,0.0,11.04514455795288,2
2,60.0,cccc/crcc,0.0,10.609626531600952,3
1,60.0,ccccc/crcc,0.0,10.51257210969925,4
1,20.0,c/cf,0.0,45.43879318237305,5
2,220.0,ccccccc/crrr,0.0,12.378401339054108,6
1,100.0,cccc/ccrc,0.0,11.987801730632782,7
1,220.0,ccccccc/crrr,0.0,12.865027010440826,8
2,220.0,cccc/crrr,0.0,10.249609291553497,9
1,220.0,ccccccc/crrr,0.0,8.14832454919815,10
0,220.0,cccc/crrr,0.0,7.502408564090729,11
1,60.0,ccccc/crcc,0.0,8.894014716148376,12
1,60.0,cc/crf,0.0,16.491199851036072,13
1,100.0,ccccc/cccr,0.0,10.867765843868256,14
1,20.0,c/cf,0.0,33.10443186759949,15
2,220.0,ccccccc/crrr,0.0,7.75560337305069,16
1,180.0,cccc/ccrr,0.0,10.197846472263336,17
0,140.0,cccccc/crcr,0.0,11.419406533241272,18
1,20.0,cccc/cccc,0.0,12.305133998394012,19
1,100.0,ccccc/ccrf,0.0,8.751228284835815,20
1,220.0,cccc/crrr,0.0,9.240351736545563,21
1,220.0,ccccccc/crrr,0.0,7.114811480045319,22
2,220.0,cccc/crrr,0.0,9.77298754453659,23
1,220.0,ccccccc/crrr,0.0,6.715209424495697,24
1,20.0,c/cf,0.0,29.628547191619873,25
2,220.0,ccccccc/crrr,0.0,7.296107828617096,26
2,60.0,cccc/crcc,0.0,7.955524146556854,27
1,60.0,ccccc/crcc,0.0,7.3688764572143555,28
2,220.0,cccc/crrr,0.0,7.707461476325989,29
2,220.0,ccccccc/crrr,0.0,7.419301390647888,30
