Winner,Pot
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
c,30
c,15
s,15
c,15
c,30
c,15
c,30
c,15
c,30
