Winner,Pot
s,50
c,140
s,15
c,440
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
c,440
s,120
c,60
s,120
s,70
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,140
s,50
s,220
c,120
s,160
s,140
c,140
s,50
s,220
c,120
s,160
s,50
c,140
s,15
c,440
c,140
s,15
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
c,440
s,120
c,60
s,50
c,140
s,15
c,440
c,140
s,220
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
c,140
s,50
s,220
c,120
s,160
s,140
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
c,440
s,120
c,60
s,120
s,70
s,15
c,140
s,50
s,220
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
c,440
s,120
c,60
s,120
s,70
s,15
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
c,440
s,120
c,60
s,120
s,70
s,15
c,140
s,50
s,260
s,50
c,140
s,15
c,140
c,140
s,50
s,220
c,120
s,160
s,140
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
c,440
s,120
c,60
s,120
s,70
s,15
c,140
s,50
s,220
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
c,440
s,120
c,60
s,120
s,70
s,15
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,70
s,15
c,140
s,50
s,220
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
c,440
s,120
c,60
s,120
s,70
s,15
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
c,440
s,120
c,60
s,120
s,70
s,15
c,140
s,50
s,260
s,50
c,140
s,15
c,140
c,140
s,50
s,220
c,120
s,160
s,140
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
c,440
s,120
c,60
s,120
s,70
s,15
c,140
s,50
s,220
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,70
s,15
c,140
s,50
s,220
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,140
s,60
s,260
s,50
c,140
s,15
s,120
s,70
s,15
c,140
s,50
s,220
s,50
c,140
s,15
c,440
s,120
c,60
s,120
s,70
s,15
c,140
s,15
s,60
s,260
s,50
c,140
s,15
c,140
s,50
s,220
c,120
s,160
s,50
c,140
s,15
c,440
