Winner,Pot,Actions,ATTP1,ATTP2,HandNo
2,220.0,cccc/crrr,0.0,9.508923351764679,1
2,54.0,ccccccc/crrr,0.0,9.428150534629822,2
2,14.0,cccc/cccc,0.0,7.751975476741791,3
2,54.0,ccccccc/crrr,0.0,7.3635058999061584,4
1,38.0,cccc/crrc,0.0,8.291361510753632,5
1,22.0,cccc/crf,0.0,7.2846046686172485,6
1,22.0,cc/crf,0.0,15.258885860443115,7
1,46.0,cccccc/ccrr,0.0,7.856749892234802,8
1,54.0,cccc/crrr,0.0,7.451647222042084,9
2,14.0,cccc/cccc,0.0,7.829743921756744,10
2,22.0,cccc/crcc,0.0,7.628441691398621,11
2,54.0,ccccccc/crrr,0.0,7.286854326725006,12
1,54.0,cccc/crrr,0.0,7.189332187175751,13
2,54.0,ccccccc/crrr,0.0,7.410886526107788,14
1,38.0,cccc/crrc,0.0,8.30174058675766,15
2,54.0,ccccccc/crrr,0.0001426764896937779,7.770778119564056,16
2,54.0,cccc/crrr,0.0,7.399384438991547,17
1,30.0,ccccc/cccr,0.0,8.03129655122757,18
1,54.0,cccc/crrr,0.0,7.730216801166534,19
1,30.0,ccccc/ccrc,0.0,7.271852433681488,20
2,54.0,cccc/crrr,0.0,6.323109984397888,21
1,22.0,ccccc/crcf,0.0,6.770525026321411,22
2,54.0,cccc/crrr,0.0,7.457399904727936,23
1,38.0,cccccc/crrc,0.0,8.296862840652466,24
2,54.0,cccc/crrr,0.0,7.3851311802864075,25
1,54.0,ccccccc/crrr,0.0001430511474609375,7.365374445915222,26
2,54.0,cccc/crrr,0.0,7.934269666671753,27
0,54.0,ccccccc/crrr,0.0,7.849498212337494,28
1,22.0,cc/crf,0.0,15.669991612434387,29
1,30.0,ccccc/ccrc,0.0,7.857499778270721,30
1,60.0,cc/crf,0.0,14.888792991638184,1
1,60.0,ccccc/crcc,0.0,7.163074195384979,2
2,180.0,cccc/ccrr,0.0,6.9657726883888245,3
1,20.0,cc/cf,0.0,13.542949199676514,4
1,60.0,cccc/crcc,0.0,7.22984105348587,5
0,220.0,ccccccc/crrr,0.00014322144644601003,7.216086506843567,6
1,100.0,ccc/ccrf,0.0,9.958533684412638,7
1,180.0,cccccc/ccrr,0.0,7.346870005130768,8
1,20.0,c/cf,0.0,27.415979862213135,9
1,20.0,cccc/cccc,0.0,7.716340184211731,10
1,20.0,c/cf,0.0,29.522517442703247,11
1,20.0,cc/cf,0.0,15.084649205207825,12
1,20.0,cccc/cccc,0.0,8.213841617107391,13
1,20.0,cccc/cccc,0.0,8.044426023960114,14
1,220.0,cccc/crrr,0.0,7.766977667808533,15
2,220.0,ccccccc/crrr,0.0,6.899256944656372,16
1,60.0,cc/crf,0.0,14.881289839744568,17
1,220.0,ccccccc/crrr,0.0,7.053294777870178,18
1,20.0,cccc/cccc,0.0,7.600683867931366,19
2,220.0,ccccccc/crrr,0.0,7.659699201583862,20
1,60.0,cccc/crcc,0.000250399112701416,7.611936807632446,21
2,220.0,ccccccc/crrr,0.00014318738664899553,7.939271509647369,22
1,20.0,c/cf,0.0,28.044140338897705,23
1,220.0,ccccccc/crrr,0.0,6.502905488014221,24
1,100.0,ccc/ccrf,0.0,9.714804569880167,25
2,220.0,ccccccc/crrr,0.0,7.926294565200806,26
2,220.0,cccc/crrr,0.0,7.340368866920471,27
2,220.0,ccccccc/crrr,0.0,7.044294118881226,28
0,60.0,cccc/crcc,0.0,7.400384545326233,29
1,220.0,ccccccc/crrr,0.0,7.061048269271851,30
1,60.0,ccc/crcf,0.0,15.733224868774414,1
2,220.0,ccccccc/crrr,0.0,7.586431682109833,2
1,20.0,cccc/cccc,0.0,8.418143510818481,3
2,220.0,ccccccc/crrr,0.00014254025050571987,9.002292215824127,4
2,220.0,cccc/crrr,0.0,7.1540709137916565,5
1,20.0,cccc/cccc,0.0,9.226600050926208,6
1,60.0,cc/crf,0.0,17.686504244804382,7
2,220.0,ccccccc/crrr,0.0,8.210589706897736,8
1,20.0,c/cf,0.0,35.78611087799072,9
1,220.0,ccccccc/crrr,0.0,8.34387356042862,10
